TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
cz.jiripinkas.jba.entity.Category,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.979166667,90,87
cz.jiripinkas.jba.entity.User,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.982954545,145,139
cz.jiripinkas.jba.service.UserService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.64493007,123,59
cz.jiripinkas.jba.entity.Item,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,335,335
cz.jiripinkas.jba.entity.Role,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.986607143,66,63
cz.jiripinkas.jba.entity.Blog,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.989927581,339,331
TOTALS,,0.930597668,1098,1014
