TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
property.maven.plugin.PropertyChecker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.972222222,55,53
property.maven.plugin.Check,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,33,33
property.maven.plugin.check.name.BuiltInCheckNameEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,0,0
property.maven.plugin.CheckBlock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.972222222,53,51
TOTALS,,0.986111111,141,137
